;;;;;;;;;;;;;;;;;;;;
PNAD Covid;;;;;;;;;;;;;;;;;;;;
Periodicidade da divulgação: Mensal;;;;;;;;;;;;;;;;;;;;
Nota:os indicadores de mercado de trabalho são para as pessoas de 14 anos ou mais de idade e tem como referência a semana anterior a entrevista;;;;;;;;;;;;;;;;;;;;
Nota 1: Inclusive pessoas de cor amarela ou indígena.;;;;;;;;;;;;;;;;;;;;
Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Julho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;3,6;3,3;Estável;3,0;Estável;2,8;Estável;2,0;Queda;1,5;Queda;1,3;Estável;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;96,4;96,7;Estável;97,0;Estável;97,2;Estável;98,0;Aumento;98,5;Aumento;98,7;Estável;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;13,9;10,9;-;14,1;-;15,3;-;12,7;-;14,3;-;15,7;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;0,5;0,4;-;0,4;-;0,4;-;0,3;-;0,2;-;0,2;-;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;  3 682 ;  3 858 ; Aumento ;  4 001 ; Aumento ;  3 994 ; Estável ;  3 952 ; Estável ;  3 949 ; Estável ;  3 953 ; Estável ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;   984 ;   696 ; Queda ;   627 ; Queda ;   564 ; Queda ;   472 ; Queda ;   613 ; Aumento ;   707 ; Aumento ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;  2 698 ;  3 162 ; Aumento ;  3 374 ; Aumento ;  3 430 ; Estável ;  3 480 ; Estável ;  3 336 ; Queda ;  3 245 ; Queda ;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;1,8;1,6;-;1,6;-;1,5;-;1,6;-;1,6;-;1,6;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;5,1;6,2;-;6,5;-;7,2;-;8,3;-;7,2;-;7,3;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;2,3;2,0;-;1,8;-;1,8;-;1,8;-;1,7;-;1,7;-;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;26,7;18,0;Queda;15,7;Queda;14,1;Queda;12,0;Queda;15,5;Aumento;17,9;Aumento;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;73,3;82,0;Aumento;84,3;Aumento;85,9;Aumento;88,0;Aumento;84,5;Queda;82,1;Queda;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;4,5;5,8;-;6,2;-;6,9;-;7,9;-;6,6;-;6,5;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;1,6;1,3;-;1,1;-;1,1;-;1,1;-;1,2;-;1,4;-;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Total;-;-;  3 682 ;  3 858 ; Aumento ;  4 001 ; Aumento ;  3 994 ; Estável ;  3 952 ; Estável ;  3 949 ; Estável ;  3 953 ; Estável ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;   154 ;   161 ; Estável ;   187 ; Estável ;   176 ; Estável ;   161 ; Estável ;   166 ; Estável ;   173 ; Estável ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;  3 528 ;  3 697 ; Aumento ;  3 814 ; Aumento ;  3 818 ; Estável ;  3 791 ; Estável ;  3 783 ; Estável ;  3 779 ; Estável ;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;1,8;1,6;-;1,6;-;1,5;-;1,6;-;1,6;-;1,6;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;10,0;8,7;-;8,5;-;8,9;-;8,8;-;8,2;-;8,4;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;1,8;1,7;-;1,6;-;1,6;-;1,6;-;1,6;-;1,7;-;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;4,2;4,2;Estável;4,7;Estável;4,4;Estável;4,1;Estável;4,2;Estável;4,4;Estável;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;95,8;95,8;Estável;95,3;Estável;95,6;Estável;95,9;Estável;95,8;Estável;95,6;Estável;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;9,7;8,6;-;8,5;-;8,8;-;8,6;-;8,1;-;8,2;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Total;-;-;  3 682 ;  3 858 ; Aumento ;  4 001 ; Aumento ;  3 994 ; Estável ;  3 952 ; Estável ;  3 949 ; Estável ;  3 953 ; Estável ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Alguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;  2 800 ;  3 087 ; Aumento ;  3 264 ; Aumento ;  3 295 ; Estável ;  3 190 ; Queda ;  3 198 ; Estável ;  3 151 ; Estável ;
Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Ninguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;   882 ;   771 ; Queda ;   737 ; Estável ;   699 ; Estável ;   763 ; Aumento ;   751 ; Estável ;   802 ; Aumento ;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Total;-;-;1,8;1,6;-;1,6;-;1,5;-;1,6;-;1,6;-;1,6;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Alguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;2,4;2,0;-;2,0;-;1,9;-;1,9;-;1,9;-;2,0;-;
CV - Pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Ninguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;3,7;4,1;-;4,2;-;4,2;-;4,0;-;3,7;-;3,5;-;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Alguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;76,0;80,0;Aumento;81,6;Aumento;82,5;Estável;80,7;Queda;81,0;Estável;79,7;Queda;
Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Ninguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;24,0;20,0;Queda;18,4;Queda;17,5;Estável;19,3;Aumento;19,0;Estável;20,3;Aumento;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Alguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;1,2;1,0;-;0,9;-;0,9;-;0,9;-;0,9;-;0,9;-;
CV - Distribuição das pessoas desocupadas ou não ocupadas que não procuraram trabalho, mas gostariam de trabalhar na semana anterior, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Ninguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;3,8;4,0;-;4,1;-;4,3;-;3,9;-;3,6;-;3,4;-;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial;Total;-;-;  6 678 ;  6 580 ; Estável ;  6 693 ; Aumento ;  6 536 ; Queda ;  6 406 ; Queda ;  6 356 ; Estável ;  6 308 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial;Alguém recebe auxílio emergencial;-;-;  4 165 ;  4 362 ; Aumento ;  4 503 ; Aumento ;  4 446 ; Estável ;  4 212 ; Queda ;  4 130 ; Estável ;  3 995 ; Queda ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial;Ninguém recebe auxílio emergencial;-;-;2513,3;2218,0;Queda;2190,6;Estável;2089,9;Queda;2193,7;Aumento;2226,4;Estável;2313,2;Aumento;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Total;-;-;1,0;1,0;-;0,9;-;0,9;-;0,9;-;0,9;-;0,9;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Alguém recebe auxílio emergencial;-;-;1,8;1,6;-;1,5;-;1,5;-;1,5;-;1,6;-;1,7;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Ninguém recebe auxílio emergencial;-;-;2,3;2,4;-;2,4;-;2,2;-;2,1;-;2,2;-;2,0;-;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Alguém recebe auxílio emergencial;-;-;62,4;66,3;Aumento;67,3;Estável;68,0;Estável;65,8;Queda;65,0;Estável;63,3;Queda;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Ninguém recebe auxílio emergencial;-;-;37,6;33,7;Queda;32,7;Estável;32,0;Estável;34,2;Aumento;35,0;Estável;36,7;Aumento;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Alguém recebe auxílio emergencial;-;-;1,3;1,2;-;1,1;-;1,0;-;1,1;-;1,1;-;1,2;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de auxílio emergencial;Ninguém recebe auxílio emergencial;-;-;2,2;2,3;-;2,3;-;2,2;-;2,1;-;2,1;-;2,0;-;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de seguro desemprego;Total;-;-;  6 678 ;  6 580 ; Estável ;  6 693 ; Aumento ;  6 536 ; Queda ;  6 406 ; Queda ;  6 356 ; Estável ;  6 308 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;   153 ;   139 ; Estável ;   130 ; Estável ;   117 ; Estável ;   87 ; Estável ;   58 ; Queda ;   44 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;  6 525 ;  6 441 ; Estável ;  6 563 ; Aumento ;  6 418 ; Queda ;  6 319 ; Queda ;  6 298 ; Estável ;  6 264 ; Estável ;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Total;-;-;1,0;1,0;-;0,9;-;0,9;-;0,9;-;0,9;-;0,9;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;13,6;11,7;-;14,0;-;15,8;-;13,6;-;16,5;-;16,2;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;1,1;1,0;-;1,0;-;0,9;-;0,9;-;0,9;-;1,0;-;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;2,3;2,1;Estável;1,9;Estável;1,8;Estável;1,4;Estável;0,9;Queda;0,7;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;97,7;97,9;Estável;98,1;Estável;98,2;Estável;98,6;Estável;99,1;Aumento;99,3;Estável;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Alguém recebe seguro desemprego;-;-;13,6;11,7;-;14,0;-;15,7;-;13,6;-;16,5;-;16,2;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de seguro desemprego;Ninguém recebe seguro desemprego;-;-;0,3;0,3;-;0,3;-;0,3;-;0,2;-;0,2;-;0,1;-;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;  6 678 ;  6 580 ; Estável ;  6 693 ; Aumento ;  6 536 ; Queda ;  6 406 ; Queda ;  6 356 ; Estável ;  6 308 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;  1 523 ;  1 035 ; Queda ;   911 ; Queda ;   809 ; Queda ;   653 ; Queda ;   795 ; Aumento ;   893 ; Aumento ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;  5 155 ;  5 545 ; Aumento ;  5 783 ; Aumento ;  5 727 ; Estável ;  5 753 ; Estável ;  5 561 ; Queda ;  5 415 ; Queda ;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;1,0;1,0;-;0,9;-;0,9;-;0,9;-;0,9;-;0,9;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;4,3;5,4;-;5,6;-;6,2;-;7,0;-;6,4;-;6,6;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;1,4;1,3;-;1,2;-;1,2;-;1,1;-;1,1;-;1,1;-;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;22,8;15,7;Queda;13,6;Queda;12,4;Queda;10,2;Queda;12,5;Aumento;14,2;Aumento;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;77,2;84,3;Aumento;86,4;Aumento;87,6;Aumento;89,8;Aumento;87,5;Queda;85,8;Queda;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Alguém recebe Bolsa Família;-;-;4,0;5,2;-;5,4;-;6,0;-;6,8;-;6,2;-;6,2;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de Bolsa Família;Ninguém recebe Bolsa Família;-;-;1,2;1,0;-;0,8;-;0,9;-;0,8;-;0,9;-;1,0;-;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Total;-;-;  6 678 ;  6 580 ; Estável ;  6 693 ; Aumento ;  6 536 ; Queda ;  6 406 ; Queda ;  6 356 ; Estável ;  6 308 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;   361 ;   396 ; Estável ;   428 ; Estável ;   415 ; Estável ;   420 ; Estável ;   434 ; Estável ;   431 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;  6 317 ;  6 184 ; Queda ;  6 266 ; Estável ;  6 121 ; Queda ;  5 986 ; Queda ;  5 922 ; Estável ;  5 877 ; Estável ;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;1,0;1,0;-;0,9;-;0,9;-;0,9;-;0,9;-;0,9;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;7,3;6,9;-;6,3;-;6,2;-;6,2;-;5,9;-;5,9;-;
CV - Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;1,1;1,1;-;1,0;-;1,0;-;1,0;-;1,0;-;1,0;-;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;100,0;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;100,0;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;5,4;6,0;Estável;6,4;Estável;6,3;Estável;6,6;Estável;6,8;Estável;6,8;Estável;
Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;94,6;94,0;Estável;93,6;Estável;93,7;Estável;93,4;Estável;93,2;Estável;93,2;Estável;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Alguém recebe BPC;-;-;7,2;6,8;-;6,2;-;6,1;-;6,1;-;5,8;-;5,9;-;
CV - Distribuição das pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (%);Grande Região;Norte;Recebimento de BPC;Ninguém recebe BPC;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Total;-;-;  6 678 ;  6 580 ; Estável ;  6 693 ; Aumento ;  6 536 ; Queda ;  6 406 ; Queda ;  6 356 ; Estável ;  6 308 ; Estável ;
Pessoas fora da força de trabalho na semana de referência, residindo em domicílios onde (mil pessoas);Grande Região;Norte;Recebimento de auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;Alguém recebe auxílio emergencial ou seguro desemprego ou BPC ou Programa Bolsa Família;-;-;  4 521 ;  4 633 ; Estável ;  4 785 ; Aumento ;  4 709 ; Estável ;  4 484 ; Queda ;  4 431 ; Estável ;  4 318 ; Queda ;
